id;descripcio;coddepto;departamen;codloc;localidad;idcalle;calle;nro;km;idesq1;esquina;idesq2;esq2;manzana;solar;tel1;tel2;tel3;observacio;direccion;fechaactua;telefono;desydepto;tipo;correo;web;fax;horario;x;y;lon;lat;nombre;id2
125962;C S PIEDRAS BLANCAS;1;MONTEVIDEO;1020;PIEDRAS BLANCAS;;AVDA. JOSE BELLONI;;;;CLEMENTE RUGGIA;;;;;;;;JOSE BELLONI esquina CLEMENTE RUGGIA;;14-03-2026;22275295;;;;;;;578649.969100323;6146702.89200846;-56.14;-34.8189;CENTRO DE SALUD PIEDRAS BLANCAS ANEXO;
125966;CENTRO DIURNO H VILARDEBO;1;MONTEVIDEO;1020;REDUCTO;;AVDA. MILLAN;2515;;;CONCEPCION ARENAL;;;;;;;;PEDRO MILLAN 2515 esquina CONCEPCION ARENAL;;14-03-2026;22034641;;;;;;;574297.599024227;6140084.88643194;-56.187;-34.8789;CENTRO DIURNO H VILARDEBO;
125968;POL 19 DE ABRIL;1;MONTEVIDEO;1020;NUEVO PARIS;;GUAZUCUA;320;;;PSJE. 19 DE ABRIL;;;;;;;;GUAZUCUA 320 esquina 19 DE ABRIL;;14-03-2026;23095481  23082281;;;;;;;568578.286451878;6144011.12270526;-56.2499;-34.8439;POLICLINICA 19 DE ABRIL;
125969;POL 3 OMBUES;1;MONTEVIDEO;1020;TRES OMBUES - VICTORIA;;ALAGOAS;742;;;PEDRO GIRALT;;;;;;;;ALAGOAS 742 esquina PEDRO GIRALT;;14-03-2026;2307 5193  2304 8153;;;;;;;568925.596129828;6142777.49400285;-56.246;-34.855;POLICLINICA 3 OMBUES;
125970;CONS ALDEAS INFANTILES;1;MONTEVIDEO;1020;PASO DE LA ARENA;;AVDA. LUIS BATLLE BERRES;1021;;;;;;;;;;;LUIS BATLLE BERRES 1021 esquina PQUE LECQOC;;14-03-2026;23120203;;;;;;;560553.564164449;6148614.55389114;-56.338;-34.8029;CONSULTORIO ALDEAS INFANTILES;
125971;CONS AQUILES LANZA;1;MONTEVIDEO;1020;CASAVALLE;;NATAL;;;;;;;;;;;;NATAL esquina LAS ACACIAS CHICAGO;;14-03-2026;22203094;;;;;;;575903.453088469;6146382.21718185;-56.17;-34.822;CONSULTORIO AQUILES LANZA;
125972;CONS AREAESPACIO ADOLESCENTE RUBEN ALONSO;1;MONTEVIDEO;1020;LAS ACACIAS;;TIMBUES;;;;BVAR. APARICIO SARAVIA;;;;;;;;TIMBUES esquina APARICIO SARAVIA;;14-03-2026;22154628;;;;;;;577227.561871341;6145020.61890167;-56.1553969809;-34.8341775136;CONSULTORIO AREAESPACIO ADOLESCENTE RUBEN ALONSO;
125973;CONS 23 DE DICIEMBRE;1;MONTEVIDEO;1020;MANGA - TOLEDO CHICO;;CMNO. CARLOS LINNEO;;;;MENDOZA;;;;;;;;CARLOS LINNEO esquina MENDOZA;;14-03-2026;;;;;;;;577034.462088333;6150376.44824193;-56.158;-34.7859;CONSULTORIO ASENTAMIENTO 23 DE DICIEMBRE;
125974;CONS 25 DE AGOSTO;1;MONTEVIDEO;1020;COLON CENTRO Y NOROESTE;;PORORO;;;;FERNANDO MENCK;;;;;;;;PORORO esquina FERNANDO MENCK;;14-03-2026;23240854;;;;;;;570180.026146277;6150209.55862258;-56.2329;-34.7879;CONSULTORIO ASENTAMIENTO 25 DE AGOSTO;
125975;POL ACOSTA Y LARA;1;MONTEVIDEO;1020;CARRASCO NORTE;;ACOSTA Y LARA;7125;;;ANTONIO PENA;;;;;;;;ACOSTA Y LARA 7125 esquina ANTONIO PENA;;14-03-2026;26013563  26038484;;;;;;;586507.127663189;6140931.48550492;-56.0535;-34.8703;CONSULTORIO ASENTAMIENTO ACOSTA Y LARA;
125976;CONS BARRIO FENIX;1;MONTEVIDEO;1020;MANGA - TOLEDO CHICO;;;;;;;;;;;;;;CALLE D;;14-03-2026;;;;;;;;577846.519071473;6149027.65709654;-56.149;-34.798;CONSULTORIO BARRIO FENIX;
125977;POL CADORNA;1;MONTEVIDEO;1020;TRES OMBUES - VICTORIA;;PSJE. LUNAREJO;5185;;;CORDOBES;;;;;;;;LUNAREJO 5185 esquina CORDOBES;;14-03-2026;23082167  23082167;;;;;;;569075.454291783;6143253.24933227;-56.2444;-34.8507;CONSULTORIO CADORNA;
125978;CONS CAIF JUAN XXIII;1;MONTEVIDEO;1020;UNION;;MENORCA;2107;;;JUAN JOSE CASTRO;;;;;;;;MENORCA 2107 esquina JUAN JOSE CASTRO;;14-03-2026;25081995;;;;;;;579573.551306576;6140210.79075884;-56.1292856843;-34.8773650393;CONSULTORIO CAIF JUAN XXIII;
125979;POL CAPURRO;1;MONTEVIDEO;1020;CAPURRO - BELLA VISTA;;GRAL. DOROTEO ENCISO;676;;;BLAS BASUALDO;;;;;;;;DOROTEO ENCISO 676 esquina BLAS BASUALDO;;14-03-2026;23082130;;;;;;;571471.378091219;6140983.52800284;-56.218;-34.871;CONSULTORIO CAPURRO;
125980;CONS CAP POLONIO;1;MONTEVIDEO;1020;BELVEDERE;;DR. VICENTE BASAGOITY;4539;;;;;;;;;;;VICENTE BASAGOITY 4539 esquina GREGORIO CAMINO;;14-03-2026;2305 8164  2308 2144;;;;;;;570297.674183096;6142877.97505835;-56.231;-34.854;CONSULTORIO CLUB CAP POLONIO;
125981;CONS COVICENOVA;1;MONTEVIDEO;1020;LA PALOMA - TOMKINSON;;AVDA. CIBILS;4617;;;VERDUN;;;;;;;;CIBILS 4617 esquina VERDUN;;14-03-2026;23122060  23124693;;;;;;;566904.828202496;6141472.72741567;-56.268;-34.8669;CONSULTORIO COVICENOVA;
125982;CONS CRO CERRO RURAL OESTE;1;MONTEVIDEO;1020;CASABO - PAJAS BLANCAS;;;;;;;;;;;;;;SANGUINETTI esquina OHIGGINS;;14-03-2026;23153535;;;;;;;558922.769381438;6145635.8699383;-56.3556185018;-34.8298548905;CONSULTORIO CRO CERRO RURAL OESTE;
125983;CONS DELMIRA AGUSTINI;1;MONTEVIDEO;1020;BUCEO;;SAMUEL BLIXEN;;;;ALTO PERU;;;;;;;;SAMUEL BLIXEN esquina ALTO PERU;;14-03-2026;;;;;;;;579954.052135705;6138928.16784183;-56.125;-34.8889;CONSULTORIO DELMIRA AGUSTINI;
125984;POL EL TOBOGAN;1;MONTEVIDEO;1020;LA PALOMA - TOMKINSON;;;;;;;;;;;;;;LUIS TROCCOLI esquina PASAJE A;;14-03-2026;23132849;;;;;;;568550.891233579;6141571.45998766;-56.25;-34.8659;POLICLINICA EL TOBOGAN;
125985;CONS ESPARTACO;1;MONTEVIDEO;1020;PASO DE LA ARENA;;LOMAS DE ZAMORA;2996;;;CMNO. MANUEL M FLORES;;;;;;;;LOMAS DE ZAMORA 2996 esquina MANUEL M FLORES;;14-03-2026;23128633;;;;;;;562273.473314281;6145941.43419438;-56.319;-34.8269;CONSULTORIO ESPARTACO;
125986;CONS JARDINES DE LAS TORRES;1;MONTEVIDEO;1020;LA PALOMA - TOMKINSON;;LOS NOGALES;2342;;;;;;;;;;;LOS NOGALES 2342 esquina PASAJE LAS ALEGRIAS;;14-03-2026;23129258;;;;;;;566356.363082534;6143994.20336677;-56.2742;-34.8442;POLICLINICA JARDINES DE LAS TORRES;
125987;POL LA BOYADA;1;MONTEVIDEO;1020;LA PALOMA - TOMKINSON;;CMNO. LA BOYADA;1682;;;AVDA. DR. SANTIN CARLOS ROSSI;;;;;;;;LA BOYADA 1682 esquina SANTIN CARLOS ROSSI;;14-03-2026;23139074;;;;;;;568383.598854404;6142426.66469885;-56.2519;-34.8582;POLICLINICA LA BOYADA;
125988;POL LAS ACACIAS;1;MONTEVIDEO;1020;LAS ACACIAS;;IBERIA;3895;;;NIAGARA;;;;;;;;IBERIA 3895 esquina NIAGARA;;14-03-2026;22112378;;;;;;;577359.090318256;6144384.85604488;-56.1539;-34.8399;POLICLINICA LAS ACACIAS;
125989;POL LOS REYES;1;MONTEVIDEO;1020;CASAVALLE;;;;;;MATILDE PACHECO DE BATLLE Y ORDO�EZ;;;;;;;;PASAJE A esquina MATILDE PACHECO DE BATLLE Y ORDONEZ;;14-03-2026;222020093;;;;;;;577192.0900412;6146271.65172635;-56.1559;-34.8229;POLICLINICA LOS REYES;
125990;CONS MONSERRAT;1;MONTEVIDEO;1020;TRES OMBUES - VICTORIA;;ALASKA;748;;;GRAL. AGUSTIN MU�OZ;;;;;;;;ALASKA 748 esquina AGUSTIN MUNOZ;;14-03-2026;23087810;;;;;;;569290.50193293;6142674.9292197;-56.242;-34.8559;CONSULTORIO MONSERRAT;
125991;CONS PLEMU;1;MONTEVIDEO;1020;CASAVALLE;;;;;;AVDA. GUSTAVO A VOLPE;;;;;;;;26 esquina GUSTAVO A VOLPE;;14-03-2026;22161988;;;;;;;574976.331056388;6144848.26806704;-56.18;-34.8359;CONSULTORIO PLEMU;
125992;POL TOLEDO CHICO;1;MONTEVIDEO;1020;MANGA - TOLEDO CHICO;;AVDA. DE LAS INSTRUCCIONES;5461;;;CMNO. TOLEDO CHICO;;;;;;;;DE LAS INSTRUCCIONES 5461 esquina TOLEDO CHICO;;14-03-2026;25150607;;;;;;;581456.847360137;6153809.64337702;-56.11;-34.7546;CONSULTORIO TOLEDO CHICO;
125993;POL ULISES FAVARO;1;MONTEVIDEO;1020;BANADOS DE CARRASCO;;ULISES FAVARO;5601;;;OMBU;;;;;;;;ULISES FAVARO 5601 esquina OMBU;;14-03-2026;94422087;;;;;;;581100.963438064;6143576.17587126;-56.1129;-34.8469;CONSULTORIO ULISES FAVARO;
126006;INTERIN CASAVALLE;1;MONTEVIDEO;1020;LAS ACACIAS;;ENRIQUE AMORIN;;;;JULIO E SUAREZ;;;;;;;;ENRIQUE AMORIN esquina JULIO E SUAREZ PELODURO;;14-03-2026;2215 9749;;;;;;;576078.023584268;6144273.57928649;-56.1679;-34.841;INTERIN CASAVALLE;
126007;INTERIN CENTRO SUR;1;MONTEVIDEO;1020;CIUDAD VIEJA;;SAN JOSE;;;;FLORIDA;;;;;;;;SAN JOSE esquina FLORIDA;;14-03-2026;2902 9675;;;;;;;573185.231992968;6136988.50237169;-56.1989;-34.9069;INTERIN CENTRO SUR;
126008;INTERIN CERRO;1;MONTEVIDEO;1020;LA PALOMA - TOMKINSON;;HAITI;;;;DR. RAUL MORETTI;;;;;;;;HAITI esquina RAUL MORETTI;;14-03-2026;2315 5834;;;;;;;568454.432267074;6140895.67115602;-56.251;-34.872;INTERIN CERRO;
126009;POL 24 DE JUNIO;1;MONTEVIDEO;1020;VILLA GARCIA - MANGA RUR.;;CAMICACHI;7759;;;CMNO. REPETTO;;;;;;;;CAMICACHI 7759 esquina REPETTO;;14-03-2026;22202508;;;;;;;582969.450252009;6148993.89222514;-56.093;-34.7979;POLICLINICA 24 DE JUNIO;
126010;POL 6 DE DICIEMBRE;1;MONTEVIDEO;1020;NUEVO PARIS;;CMNO. CARLOS MARIA DE PENA;;;;CORDOBA;;;;;;;;CARLOS MARIA DE PENA esquina CORDOBA;;14-03-2026;23096974;;;;;;;568953.918598354;6145328.04934499;-56.2459;-34.832;POLICLINICA 6 DE DICIEMBRE;
126011;POL 8 DE MARZO;1;MONTEVIDEO;1020;VILLA GARCIA - MANGA RUR.;;RUTA 8 BRIG. GRAL. JUAN A LAVALLEJA;;21.2;;EL PESEBRE;;;;;;;;8 KM 21200 esquina EL PESEBRE;;14-03-2026;22273719;;;;;;;587659.143162559;6151490.11410948;-56.042;-34.775;POLICLINICA DEL EJE;
126012;POL ABAYUBA;1;MONTEVIDEO;1020;COLON SURESTE - ABAYUBA;;MAGALONA;;;;CUACZIOLA;;;;;;;;MAGALONA esquina CUACZIOLA;;14-03-2026;;;;;;;;570920.675413656;6152521.72914759;-56.225;-34.767;POLICLINICA ABAYUBA;
126013;POL ARTIGAS;1;MONTEVIDEO;1020;MANGA - TOLEDO CHICO;;;5185;;;AVDA. DE LAS INSTRUCCIONES;;;;;;;;CNO C PETEROSSI 5185 esquina DE LAS INSTRUCCIONES;;14-03-2026;22224802;;;;;;;576558.510492712;6148162.33991486;-56.163;-34.8059;POLICLINICA ARTIGAS;
126014;POL CAPRA;1;MONTEVIDEO;1020;VILLA GARCIA - MANGA RUR.;;;;;;;;;;;;;;PLAZOLETA DE BARRIO NUEVO PASAJE C esquina PASAJE D Y E;;14-03-2026;22223778;;;;;;;580404.144120094;6148573.0882751;-56.121;-34.8019;POLICLINICA CAPRA;
126015;POL CASA DE MARIO;1;MONTEVIDEO;1020;LA TEJA;;DR. VAZQUEZ SAGASTUME;383;;;CONCILIACION;;;;;;;;VAZQUEZ SAGASTUME 383 esquina CONCILIACION;;14-03-2026;23070846  23589871;;;;;;;571211.584110974;6141662.0665002;-56.2209;-34.8649;POLICLINICA CASA DE MARIO;
126016;POL CASAVALLE;1;MONTEVIDEO;1020;CASAVALLE;;CMNO. GRAL. LEANDRO GOMEZ;;;;DR. JOSE MARTIRENE;;;;;;;;LEANDRO GOMEZ esquina JOSE MARTIRENE;;14-03-2026;22154525;;;;;;;575527.600127079;6145165.36814842;-56.174;-34.833;POLICLINICA CASAVALLE;
126017;POL CIRILO;1;MONTEVIDEO;1020;MANGA - TOLEDO CHICO;;SANTOS ALFONSO;4085;;;EDRULFO OLIVERA;;;;;;;;ALFONSO SANTOS 4085 esquina EDRULFO OLIVERA;;14-03-2026;22202926;;;;;;;579786.165312348;6150097.88208417;-56.1279;-34.7882;POLICLINICA CIRILO;
126018;POL COLON;1;MONTEVIDEO;1020;COLON CENTRO Y NOROESTE;;AVDA. GRAL. EUGENIO GARZON;2101;;;CALDERON DE LA BARCA;;;;;;;;EUGENIO GARZON 2101 esquina CALDERON DE LA BARCA;;14-03-2026;23202003;;;;;;;570984.853889594;6148983.44635784;-56.224;-34.7989;POLICLINICA COLON;
126019;POL COMPLEJO AMERICA;1;MONTEVIDEO;1020;COLON CENTRO Y NOROESTE;;TTE. DURAN;;;;YEGROS;;;;;;;;DURAN esquina YEGROS;;14-03-2026;23203238;;;;;;;570619.79755645;6149097.16354942;-56.228;-34.7979;POLICLINICA COMPLEJO AMERICA;
126020;POL LA CASONA;1;MONTEVIDEO;1020;MARO�AS - PARQUE GUARANI;;DR. PANTALEON PEREZ;4961;;;SDA. S;;;;;;;;PANTALEON PEREZ 4961 esquina S;;14-03-2026;25258455;;;;;;;580996.697538892;6142124.21841788;-56.1139;-34.86;POLICLINICA COMPLEJO MARONAS;
126021;POL COVIMT 9;1;MONTEVIDEO;1020;PE�AROL - LAVALLEJA;;BVAR. JOSE BATLLE Y ORDO�EZ;5129;;;DR. ALBERTO ZUBIRIA;;;;;;;;JOSE BATLLE Y ORDONEZ 5129 esquina ALBERTO ZUBIRIA;;14-03-2026;236598386;;;;;;;573789.657823273;6143970.65883699;-56.1929;-34.8439;POLICLINICA COVIMT 9;
126022;POL COVIPRO;1;MONTEVIDEO;1020;VILLA GARCIA - MANGA RUR.;;RUTA 8 BRIG. GRAL. JUAN A LAVALLEJA;;21;;CMNO. DR. LAUDELINO VAZQUEZ;;;;;;;;8 KM 21 esquina LAUDELINO VAZQUEZ;;14-03-2026;22272100;;;;;;;585726.257741916;6150299.45855392;-56.063;-34.7859;POLICLINICA SILVIA DA LUZ;
126023;POL DR MANUEL LIBEROFF;1;MONTEVIDEO;1020;LAS CANTERAS;;DR. CARLOS MARIA PRANDO;2450;;;DR. JOSE A DE FREITAS;;;;;;;;CARLOS MARIA PRANDO 2450 esquina JOSE A DE FREITAS;;14-03-2026;25244746;;;;;;;581166.743081725;6140680.92104784;-56.1119;-34.873;POLICLINICA DR MANUEL LIBEROFF;
126024;POL EL MONARCA;1;MONTEVIDEO;1020;VILLA GARCIA - MANGA RUR.;;;;188;;;;;;;;;;RUTA 8  KM 188 esquina CALLE A;;14-03-2026;22273724;;;;;;;588389.158989089;6151272.39763775;-56.034;-34.7769;POLICLINICA EL MONARCA;
126025;POL GIRALDEZ;1;MONTEVIDEO;1020;MANGA - TOLEDO CHICO;;FAROS;6294;;;FIRMAMENTO;;;;;;;;FAROS 6294 esquina FIRMAMENTO;;14-03-2026;22275378;;;;;;;579233.050059516;6150679.37513778;-56.134;-34.783;POLICLINICA GIRALDEZ;
126026;POL INVE 18;1;MONTEVIDEO;1020;TRES OMBUES - VICTORIA;;;4379;;;CAMAMBU;;;;;;;;LAURELES PASAJE E 4379 esquina CAMAMBU;;14-03-2026;23096974;;;;;;;569380.978989433;6141343.40343082;-56.2409;-34.8679;POLICLINICA INVE 18;
126027;POL INVE 19;1;MONTEVIDEO;1020;LEZICA - MELILLA;;AVDA. LEZICA;6708;;;;;;;;;;;LEZICA 6708 esquina CALLE 1;;14-03-2026;23236724;;;;;;;566804.311709345;6152785.45204635;-56.27;-34.7649;POLICLINICA INVE 19;
126028;POL JARDINES DE PENAROL;1;MONTEVIDEO;1020;COLON SURESTE - ABAYUBA;;ISIDRO FYNN;1796;;;BADAJOZ;;;;;;;;ISIDRO FYNN 1796 esquina BADAJOZ;;14-03-2026;23218890;;;;;;;571987.207707363;6147312.09627701;-56.2129;-34.8139;POLICLINICA JARDINES DE PENAROL;
126029;POL LAS FLORES;1;MONTEVIDEO;1020;LA PALOMA - TOMKINSON;;CMNO. MANUEL M FLORES;;;;CMNO. TOMKINSON;;;;;;;;MANUEL M FLORES esquina TOMKINSON;;14-03-2026;23113649;;;;;;;565274.526091186;6143580.54216924;-56.286;-34.848;POLICLINICA LAS FLORES;
126030;POL LAS RETAMAS;1;MONTEVIDEO;1020;CONCILIACION;;PICAFLOR;6307;;;CONFEDERADA;;;;;;;;PICAFLOR 6307 esquina CONFEDERADA;;14-03-2026;23565565;;;;;;;570324.969340299;6146437.76024472;-56.231;-34.8219;POLICLINICA HELIOS SARTHOU;
126031;POL LEGION BUENA VOLUNTAD;1;MONTEVIDEO;1020;AIRES PUROS;;BVAR. JOSE BATLLE Y ORDO�EZ;4820;;;;;;;;;;;JOSE BATLLE Y ORDONEZ 4820 entre GOYEN y ARECHAVALETA;;14-03-2026;22197282;;;;;;;574324.496127754;6143400.72503373;-56.187;-34.849;POLICLINICA LEGION BUENA VOLUNTAD;
126032;POL LEON DUARTE;1;MONTEVIDEO;1020;VILLA ESPA�OLA;;SU�ER Y CAPDEVILLA;3995;;;JUAN VICENTE ARCOS;;;;;;;;SUNER Y CAPDEVILLA 3995 esquina JUAN VICENTE ARCOS;;14-03-2026;25062129;;;;;;;578184.728081026;6141958.48266986;-56.1446442466;-34.8617146299;POLICLINICA LEON DUARTE;
126033;POL LOS ANGELES;1;MONTEVIDEO;1020;CASAVALLE;;LOS ANGELES;5340;;;CURITIBA;;;;;;;;LOS ANGELES 5340 esquina CURITIBA;;14-03-2026;22260359;;;;;;;575362.063497079;6146164.87099147;-56.1759;-34.824;POLICLINICA LOS ANGELES;
126115;POL EL SANTO;3;CANELONES;3221;LAS PIEDRAS;;;;;;;;;;;;;;BARRANQUILLA esquina QUEGUAY;;14-03-2026;;;;;;;;572459.542254637;6160838.46026434;-56.2089;-34.6919;POLICLINICA EL SANTO;
126034;POL LOS BULEVARES;1;MONTEVIDEO;1020;PASO DE LA ARENA;;AVDA. IDEARIO ARTIGUISTA;2145;;;LIGA FEDERAL;;;;;;;;IDEARIO ARTIGUISTA 2145 esquina LIGA FEDERAL;;14-03-2026;23124709;;;;;;;565569.484534898;6146472.97644791;-56.283;-34.8219;POLICLINICA LOS BULEVARES;
126035;POL MARACANA NORTE;1;MONTEVIDEO;1020;LA PALOMA - TOMKINSON;;;5813;;;;;;;;;;;CALLE 3 5813 esquina PRIMERA AL NORTE;;14-03-2026;23124715;;;;;;;567019.157700615;6143357.23782161;-56.2669;-34.8499;POLICLINICA MARACANA NORTE;
126036;POL MARACANA SUR;1;MONTEVIDEO;1020;LA PALOMA - TOMKINSON;;AVDA. CIBILS;;;;NUBLE YIC;;;;;;;;CIBILS esquina NUBLE YIC;;14-03-2026;23144955;;;;;;;566732.524015723;6142915.71908372;-56.27;-34.8539;POLICLINICA MARACANA SUR;
126037;POL NUEVA ESPERANZA;1;MONTEVIDEO;1020;COLON CENTRO Y NOROESTE;;MERCEDES SAN MARTIN DE GARCIA;1675;;;ISAAC ALBENIZ;;;;;;;;H BARRIO DOMINGO ARENA 1675 esquina ISAAC ALBENIZ;;14-03-2026;23201813;;;;;;;570059.925824953;6147659.71848566;-56.234;-34.8109;POLICLINICA NUEVA ESPERANZA;
126038;POL NUEVO AMANECER;1;MONTEVIDEO;1020;CASABO - PAJAS BLANCAS;;PSJE. CENTRAL;;;;;;;;;;;;CENTRAL 1 PARALELA AL ESTE DE BELLONI esquina PASAJE 1;;14-03-2026;23150780;;;;;;;566630.080272709;6140143.89549763;-56.2709;-34.8789;POLICLINICA NUEVO AMANECER;
126039;POL PAJAS BLANCAS;1;MONTEVIDEO;1020;CASABO - PAJAS BLANCAS;;AVDA. CAP. LEAL DE IBARRA;5495;;;CAP. PEDRO DE MESA Y CASTRO;;;;;;;;LEAL DE IBARRA 5495 esquina PEDRO DE MESA Y CASTRO;;14-03-2026;23124950;;;;;;;560790.800773917;6141626.24473925;-56.3349;-34.8659;POLICLINICA PAJAS BLANCAS;
126040;POL PUNTA DE RIELES;1;MONTEVIDEO;1020;PTA. RIELES - BELLA ITALIA;;CMNO. MALDONADO;6870;;;ARIES;;;;;;;;MALDONADO 6870 esquina ARIES;;14-03-2026;25145749;;;;;;;582129.480239136;6146117.87624599;-56.1019;-34.8239;POLICLINICA PUNTA DE RIELES;
126041;POL UDA SAINT BOIS;1;MONTEVIDEO;1020;LEZICA - MELILLA;;CMNO. FAUQUET;6358;;;GUANAHANY;;;;;;;;FAUQUET 6358 esquina GUANAHANY;;14-03-2026;23237075;;;;;;;569161.989763445;6149884.57298896;-56.244;-34.7909;POLICLINICA SAINT BOIS;
126042;POL SAN JOSE;1;MONTEVIDEO;1020;LEZICA - MELILLA;;GUANAHANY;1870;;;LUIS LASAGNA;;;;;;;;GUANAHANY 1870 esquina LUIS LASAGNA;;14-03-2026;23228517;;;;;;;568699.583030756;6149222.63094334;-56.249;-34.7969;POLICLINICA SAN JOSE;
126043;POL SAN LORENZO;1;MONTEVIDEO;1020;LAS ACACIAS;;LANCASTER;4267;;;CMNO. CHIMBORAZO;;;;;;;;LANCASTER 4267 esquina CHIMBORAZO;;14-03-2026;22168581;;;;;;;575615.379435209;6143611.97680149;-56.1729;-34.847;POLICLINICA SAN LORENZO;
126044;POL SANTA CATALINA;1;MONTEVIDEO;1020;CASABO - PAJAS BLANCAS;;BURDEOS;;;;VICTOR HUGO;;;;;;;;BURDEOS esquina VICTOR HUGO;;14-03-2026;23115825;;;;;;;564604.918355043;6139382.09145222;-56.293;-34.8859;POLICLINICA SANTA CATALINA;
126045;POL SANTA MARIA;1;MONTEVIDEO;1020;PIEDRAS BLANCAS;;CMNO. TTE. GALEANO;3761;;;SIXTINA;;;;;;;;GALEANO 3761 esquina SIXTINA;;14-03-2026;25145600;;;;;;;579374.804294078;6145909.22020576;-56.132;-34.826;POLICLINICA SANTA MARIA;
126046;POL DON BOSCO;1;MONTEVIDEO;1020;VILLA GARCIA - MANGA RUR.;;RUTA 8 BRIG. GRAL. JUAN A LAVALLEJA;;17;;CMNO. REPETTO;;;;;;;;8 KM 17 esquina REPETTO;;14-03-2026;22223009;;;;;;;583523.339472633;6148534.15392747;-56.0869;-34.802;POLICLINICA DON BOSCO;
126047;POL UDAI 2;1;MONTEVIDEO;1020;CONCILIACION;;LAURA CORTINAS;5330;;;DR. MARIO RINALDI GUERRA;;;;;;;;LAURA CORTINAS 5330 esquina MARIO RINALDI GUERRA;;14-03-2026;23552511;;;;;;;570695.649081047;6145880.39609221;-56.2269;-34.8269;POLICLINICA UDAI 2;
126048;POL SANTIAGO VAZQUEZ;1;MONTEVIDEO;1020;PASO DE LA ARENA;;AVDA. LUIS BATLLE BERRES;174;;;LA GUARDIA;;;;;;;;LUIS BATLLE BERRES 174 esquina LA GUARDIA;;14-03-2026;23120502;;;;;;;559191.488734525;6150176.02938876;-56.353;-34.7889;POLICLINICA SANTIAGO VAZQUEZ;
126049;POL VILLA FARRE;1;MONTEVIDEO;1020;VILLA GARCIA - MANGA RUR.;;;;;;CMNO. TTE. GALEANO;;;;;;;;PASAJE ESTRELLITA GENTA esquina GALEANO;;14-03-2026;25133906;;;;;;;581772.47277581;6147108.13255369;-56.1059;-34.815;POLICLINICA VILLA FARRE;
126050;POL VILLA SARANDI;1;MONTEVIDEO;1020;NUEVO PARIS;;MINOTTO DI CICCO;5802;;;CAMPOAMOR;;;;;;;;MINOTTO DI CICCO 5802 esquina CAMPOAMOR;;14-03-2026;23125336;;;;;;;567929.152421012;6144015.95542967;-56.257;-34.8439;POLICLINICA VILLA SARANDI;
126051;POL VILLA TERESA;1;MONTEVIDEO;1020;NUEVO PARIS;;;1210;;;;;;;;;;;JACINTO DE SERPA 1210 esquina ISIDORO PEREZ DE ROXAS;;14-03-2026;23097724;;;;;;;570413.562461367;6144873.3468363;-56.2299;-34.836;POLICLINICA VILLA TERESA;
126052;POL YANICELLI;1;MONTEVIDEO;1020;MALVIN NORTE;;;4262;;;DR. ROBERTO BERRO;;;;;;;;CNO CARRASCO 4262 esquina ROBERTO BERRO;;14-03-2026;25222431;;;;;;;580610.299851208;6140807.83372548;-56.118;-34.8719;POLICLINICA YANICELLI;
126053;POL YUCATAN;1;MONTEVIDEO;1020;VILLA ESPA�OLA;;TOMAS CLARAMUNT;3749;;;ING. JOSE SERRATO;;;;;;;;TOMAS CLARAMUNT 3749 esquina JOSE SERRATO;;14-03-2026;25084277;;;;;;;577842.633367808;6141418.03965786;-56.1483362229;-34.866613878;POLICLINICA YUCATAN;
126054;POL ZULLY SANCHEZ;1;MONTEVIDEO;1020;PE�AROL - LAVALLEJA;;CMNO. CNEL. RAIZ;;;;BVAR. APARICIO SARAVIA;;;;;;;;RAIZ esquina APARICIO SARAVIA;;14-03-2026;23562419;;;;;;;573252.316879741;6146525.7602049;-56.199;-34.8209;POLICLINICA ZULLY SANCHEZ;
126059;UIPPL 5 CENTRO METROPOLITANO DE RECLUSION FEMENINA;1;MONTEVIDEO;1020;COLON CENTRO Y NOROESTE;;CMNO. CARLOS A LOPEZ;;;;DR. RAMON LANDIVAR;;;;;;;;CARLOS A LOPEZ esquina RAMON LANDIVAR;;14-03-2026;;;;;;;;570351.308156151;6149875.54148316;-56.231;-34.7909;SAIPPL CNR;
126060;UIPPL 9 MADRES CON HIJOS;1;MONTEVIDEO;1020;LA TEJA;;DR. VICENTE BASAGOITY;;;;EMILIO ROMERO;;;;;;;;VICENTE BASAGOITY esquina EMILIO ROMERO;;14-03-2026;;;;;;;;571307.304073974;6142215.84187705;-56.2199;-34.8599;SAIPPL EL MOLINO;
126061;UIPPL 4 COMPEN;1;MONTEVIDEO;1900;;;;;;;;;;;;;;;CNO GRAL ESC BASILIO MUNOZ esquina CNO MANUEL M FLORES;;14-03-2026;;;;;;;;559272.239916556;6148512.01489949;-56.352;-34.8039;SAIPPL COMCAR;
126062;UIPPL 6 PUNTA DE RIELES;1;MONTEVIDEO;1900;;;;;;;;;;;;;;;CNO DIONISIOS esquina CNO PUNTA DE RIELES;;14-03-2026;;;;;;;;583204.664815083;6144666.39561899;-56.09;-34.8369;SAIPPL PUNTA DE RIELES;
126063;POL SAN MARTIN II;1;MONTEVIDEO;1020;CASAVALLE;;CMNO. CAP. MATEO TULA DUFORT;;;;CMNO. COLMAN;;;;;;;;MATEO TULA DUFORT esquina COLMAN;;14-03-2026;25123446;;;;;;;576176.060264086;6146169.23898675;-56.167;-34.8239;POLICLINICA SAN MARTIN II;
