WKT;name;description;timestamp;begin;end;altitudeMode;tessellate;extrude;visibility;drawOrder;icon
"POINT (-54.959017 -34.891703)";II119 Policlínica Plan Vigía ASSE;Días y horarios:  L y Ma de 14:00 a 18:00 hrs.<br>                              Mi de 09:00 a 12:00 hrs.<br>                              Jue de 07:30 a 12:00 hrs.<br>                               Vi de 12:30 a 16:30 hrs.<br>Dirección: Garzón s/n Barrio Cuñetti;;;;;-1;0;-1;;
"POINT (-55.277664 -34.85424)";"ID112	MAUTONE PIRIAPOLIS";Días y horarios: Juev. de 14:30 a 18:00 y Viernes de 15:30 a 19:00 hrs.<br>Dirección: Avda. Artigas y Monte Caseros;;;;;-1;0;-1;;
"POINT (-54.92258 -34.796654)";"IF111	C.P CHLA-EP SAN CARLOS";Días y horarios: Lun a Vie de 08:00 a 12:00<br>Dirección: Dr. Andrés Ceberio 539 y Fajardo y Tomás Berreta;;;;;-1;0;-1;;
"POINT (-55.223864 -34.779014)";"IC111	Hospital de PAN DE AZUCAR";Días y horarios: Lunes a Viernes de 13:00 a 17:00 hrs.<br>Dirección: Rincón 471 y Francisco Bonilla y Lazo Batista;;;;;-1;0;-1;;
"POINT (-55.275113 -34.866452)";ID113 Asistencial Medica Piriápolis ;"Días y horarios: Lun de 14:15 a 18:00<br>Teléfono: 4432 2626 <br>Dirección: Tucumán 	1073	Trapani y Gregorio Sanabria";;;;;-1;0;-1;;
"POINT (-55.22247 -34.777016)";IC112 Asistencial Médica Pan de Azúcar;"Días y horarios: Ma de 14:00 a 18:00<br>Teléfono: 4434 9151<br>Dirección: General Artigas	475	Leonardo Olivera y Francisco Bonilla";;;;;-1;0;-1;;
"POINT (-54.922041 -34.79278)";IF114 AMECOM San Carlos ;"Días y horarios: Ma y Jue de 14:00 a 18:00<br>Teléfono: 4266 9107 int 2210 <br>Dr. Andrés Ceberio	647	Rincon y Carlos Reyles ";;;;;-1;0;-1;;
"POINT (-54.922386 -34.794424)";IF113 CRAME San Carlos;"Días y horarios: Ma y Mi  de 15:00 a 18:30<br>Teléfono: 4222 5353 int 5256<br>Dirección: 18 de Julio	s/n	Av ebeiro y Av Alvariza";;;;;-1;0;-1;;
"POINT (-54.910102 -34.786977)";"IF115  ASSE	Policlínica Rodríguez Barrios";"Días y horarios: Vie de 11:30 a 13:00 hrs.<br>Teléfono: 42670145 / 091432591<br>Dirección: Av Rocha 	s/n 	A Lapido Montenegro y Suárez";;;;;-1;0;-1;;
"POINT (-58.304503 -33.118292)";"LL111	C.P CHLA-EP FRAY BENTOS";"Días y horarios: Lun a Vie de 08:00 a 13:00 hrs.<br>Dirección: 18 de Julio 	 s/n 	Ituzaingo";;;;;-1;0;-1;;
"POINT (-57.630989 -32.69827)";"LC111	C.P CHLA-EP YOUNG";Días y horarios: Lun a Vie de 08:00 a 13:00<br>Dirección: Zeballos entre Martirine y Larrañaga ;;;;;-1;0;-1;;
"POINT (-57.629594 -32.698174)";"LC113	CAMY Young";Días y horarios: Lun a Vie de 10:00 a 16:00 Hrs.<br>Dirección: 25 de Agosto 3434 y Martiriné y Piedras;;;;;-1;0;-1;;
"POINT (-54.339987 -34.476709)";"NN111	C.P CHLA-EP ROCHA";Días y horarios: <br>Lun a Vie de  08:00 a 13:00<br>Dirección: Martinez Rodriguez s/n casi 18 de Julio;;;;;-1;0;-1;;
"POINT (-53.854224 -34.197317)";"NA111	Hospital CASTILLOS";"Días y horarios: Lun a  Vie de 08:30 a 12:30 Hrs.<br>Dirección: Av Wilson, 19 de abril";;;;;-1;0;-1;;
"POINT (-54.205256 -33.677211)";"NG111	L ASSE	Centro Auxiliar Lascano";"Días y horarios: Lun a Vie de 08:00 a 12:00<br>Dirección: Libertad 	1401	1 de Agosto y Constituyente";;;;;-1;0;-1;;
"POINT (-54.208971 -33.673353)";"NG112	COMERO LASCANO";Días y horarios: Mier. 14:00 a 17:00<br>Dirección: Dr. Fonseca (ex Misiones)1190 y Rocha y Arigón;;;;;-1;0;-1;;
"POINT (-56.2519795 -34.8741106)";"JB121 Cerro	ASSE CENTRO SALUD CERRO
";"- El puesto abrirá una vez habilitada la heladera -<br>Días y horarios: Lun a Vie de 07:00 a 13:00 hrs.<br>Dirección:  Carlos Ma. Ramírez 		Grecia y Dr Santin Carlos Rossi";;;;;-1;0;-1;;
"POINT (-56.2411423 -34.7882735)";"JB131	Lezica ASSE	HTAL.COLONIA SAINT BOIS";"Días y horarios: Lun a Vie de 08:00 a 12:15<br>Dirección: Camino Fauquet	6358	Camino colman y Dr. Alfredo Massei";;;;;-1;0;-1;;
"POINT (-56.1728335 -34.8689519)";"JB114	Simón Bolivar ASSE	INSTITUTO CACHON";"Días y horarios: Ma y Jue de 09:00 a 13:00<br>Dirección: General Flores	3214	 Luis A. de Herrera y Bulevar Artigas";;;;;-1;0;-1;;
"POINT (-56.2517766 -34.8751322)";"JA114	PV CHLA EP CERRO";Días y horarios: Lunes a viernes de 08:15 -12:30 y 13:00 a 13:30<br>Dirección: Japon 1713 esq Grecia;;;;;-1;0;-1;;
"POINT (-56.1332222 -34.7839475)";"JE118	Puntas de Manga Policlínica IMM Giráldez";"Días y horarios: Lu y Vi de 11:00 a 16:00 Hrs.<br>Dirección: Faro	 6294 Bis 	Estrella Polar y Firmamento";;;;;-1;0;-1;;
"POINT (-56.1022395 -34.8246406)";"JE114	Puntas de Rieles Policlínica IMM Punta de Rieles          ";"Días y horarios: Martes y jueves de 9:30 a 17:00 Hrs.<br>Dirección: Camino Maldonado	6870	Avda. de los Astros y Aries";;;;;-1;0;-1;;
"POINT (-56.220864 -34.8558065)";"JE120	Paso Molino  IMM	Policlínica Parque Bellán
";"Días y horarios: Martes de 14:00 a 18:00 y Viernes de 12:00 a 14:00 hrs.<br>Dirección: Agraciada	4241 Freitas";;;;;-1;0;-1;;
"POINT (-56.1475713 -34.8663316)";JE128  Policlínica IMM Yucatán;"Días y horarios: Lun, Mar, Jueves y Vie de 08:15 a 13:30 hrs. Miércoles de 13:30 a 13:30. <br>Dirección: Tomas Claramunt	3749	José Serrato y Gobernador Viana";;;;;-1;0;-1;;
"POINT (-56.2548694 -34.855538)";JE132 Policlínica IMM La Paloma ;"Días y horarios:  Martes de 8 a 11:00 hrs., Viernes de 08 a 13:00 y Sábados de 07:00 a 13:00<br>Dirección: Camino de las Tropas	4556	Camino La Paloma y Pernambuco";;;;;-1;0;-1;;
"POINT (-56.1618418 -34.8702254)";JE133 Policlínica IMM IRMA GENTILE;"Días y horarios: Lun a Vie de 07:30 a 12:00<br>Dirección: Altamirano	3123	Luis A. de Herrera y Setembrino Pereda";;;;;-1;0;-1;;
"POINT (-56.1881174 -34.9120324)";"JE134	Barrio Sur Policlínica IMM Barrio Sur
";"Días y horarios: Lun., Mier. y Vie. de 14:00 a 16:30 hrs.<br>Dirección: Viana 	s/n	Gonzalo Ramírez";;;;;-1;0;-1;;
"POINT (-56.1832388 -34.8751164)";"JE135  Policlínica IMM DR . JUAN J . CROTOGHINI
";"Días y horarios: Lun a Jueves 12:00 a 14:30<br>Dirección: Marsella	2738	Colorado y Vilardebó";;;;;-1;0;-1;;
"POINT (-56.1756031 -34.8236914)";"JE138	Casavalle 	IMM LOS ANGELES";"Días y horarios: Jueves de 9:30 a 12:00 hrs. <br>Dirección: Los Ángeles 	5340	Barranquilla y Curtiba";;;;;-1;0;-1;;
"POINT (-56.1313035 -34.896307)";"JE124	Buceo Policlínica IMM Buceo
";"Días y horarios: Lun y Mi de 12:00 a 16:00<br>                             Jue de  9:00 a 12:00<br>Dirección: Santiago Rivas 	1500	Michelana";;;;;-1;0;-1;;
"POINT (-53.454768 -33.693754)";"NC112	COMERO CHUY";Días y horarios: Ma y Vie de 9:00 a 12:00 hrs.<br>Dirección: B. Ventura 517 y Gral. Artigas y Laguna de los Patos;;;;;-1;0;-1;;
"POINT (-55.5342417 -30.8987776)";MM118  - Servicio Medico Colectivo (SEMECO);Días y horarios: Lun y Viernes de 14:00 a 16:00 <br>Dirección: Ceballos 1300 ;;;;;-1;0;-1;;
"POINT (-55.5400847 -30.8945791)";MM119 CASMER Rivera Chico;Días y horarios: Lunes a Viernes de 15:00 a 18:00 hrs.<br>Dirección: Fructuoso Rivera 288;;;;;-1;0;-1;;
"POINT (-55.541592 -30.897193)";MM120 CASMER Fructuoso Rivera ;Días y horarios: Lun a Vie de 08:30 a 12:30 y de  14:30 a 18:30<br>Dirección: Fructuoso Rivera 467;;;;;-1;0;-1;;
"POINT (-55.762343 -31.194418)";"ME111 ASSE	Policlínica Ciudad de Tranqueras ";Días y horarios: Lu y Mi de 08:00 a 11:30 hrs.<br>Dirección: Treinta y Tres s/n y Artigas e Ituzaingó;;;;;-1;0;-1;;
"POINT (-55.766413 -31.185753)";ME113 CASMER Tranqueras ;Días y horarios: Ma de 08:00 a 11:30<br>                             Jue de 14:00 a 17:30<br>Dirección: Independencia 538;;;;;-1;0;-1;;
"POINT (-55.474878 -31.573254)";MC111 C. AUX. MINAS DE CORRALES ;"Días y horarios: Mi y Vie de 08:00 a 12:00 hrs.<br> Dirección: 12 de Octubre	s/n	18 de Julio y 25 de Agosto";;;;;-1;0;-1;;
"POINT (-54.691411 -31.775304)";MF111 ASSE POL VICHADERO ;"Días y horarios: Mi, J y V  de 7:30 a 12:00 hrs.<br>Dirección: GRAL. FRUCTUOSO RIVERA	s/n	Joaquin Correa 18 de Julio";;;;;-1;0;-1;;
"POINT (-58.081161 -32.325852)";"KK111	C.P CHLA-EP PAYSANDU";Días y horarios: Lun a Vie de  7:30 a 13:30<br>Dirección: Montecaseros 520 esq Artigas (entrando por calle vizconde maua);;;;;-1;0;-1;;
"POINT (-58.081123 -32.325345)";"KK113  ASSE	Centro Salud Paysandú";Días y horarios: Lun - Vie de 13:30 a 17:30<br>Dirección: Montecaseros 520 esq Artigas (entrando por calle vizconde maua);;;;;-1;0;-1;;
"POINT (-58.063679 -32.311993)";KK115 Policlínica Bº Artigas;Días y horarios: Lun a Vie de  08:00 a 15:30<br>Dirección: Grito de Asencio s/n y Lucas Piriz y Larrañaga;;;;;-1;0;-1;;
"POINT (-58.079041 -32.292663)";"CERRADO TEMPORALMENTE - KK116  ASSE	Pol. Brío Purificación 3";Días y horarios: Lun a Vie de 07:00 a 15:30<br>Dirección: Dr. Roldan entre Costa Rica y Antonio Estefanel;;;;;-1;0;-1;;
"POINT (-58.08193 -32.320283)";"KK119 IMP	Intendencia de Paysandú";Días y horarios: Lun a Vie de 08:00 a 12:00<br>Dirección: Zorrilla de San Martín 819 e Ituzaingó y Sarandí;;;;;-1;0;-1;;
"POINT (-57.208817 -32.354509)";"KA111 ASSE	Centro Auxiliar Guichón";Días y horarios: Lun a Vie de 12:30 a 17:30 hrs.<br>Dirección: Pedro Guichón s/n y Avda. Artigas y Libertador Juan A. Lavalleja;;;;;-1;0;-1;;
"POINT (-57.90039 -31.934532)";"KB111ASSE	IAMC	Policlínica Quebracho";Días y horarios: Mar. de 13:00 a 16:00 Hrs.<br>                             Jue. de  09:00 a 12:00 Hrs.<br>Dirección: Dr. Martini s/n y Sarandí y 8 de Octubre;;;;;-1;0;-1;;
"POINT (-58.087288 -32.317079)";KK120 COORPORACION MEDICA PAYSANDÚ;"Días y horarios: Lun a Vie de 08:30-11:50<br>                                                   13:00 - 17:30<br> Dirección: Setembrino Pereda	924	Gral. Leandro Gómez y 18 de Julio";;;;;-1;0;-1;;
"POINT (-58.083652 -32.318141)";"KK122  CEB	Centro de Estudios Bioquímicos";"Días y horarios: Lun a Vie de 08:00 a 09:30 hrs.<br>                             Sab de 8:00 a 10:00 hrs.<br>Dirección: Gral. Leandro Gómez	1117	Herrera y 19 de Abril";;;;;-1;0;-1;;
"POINT (-56.1465241 -34.881221)";"JF118  IAMC	HOSPITAL EVANGELICO";"Días y horarios: Lun a Vie de 08:00 a 18:00<br>Dirección: Mateo Vidal 3380, esq. Asilo";;;;;-1;0;-1;;
"POINT (-56.150942 -34.883979)";JF119 IAMC SMI SANATORIO IMPASA;Días y horarios: Lun a Vie de 08:00 a 17:00<br>Dirección: Av. Dr. Luis Alberto de Herrera 2431;;;;;-1;0;-1;;
"POINT (-56.193836 -34.86144)";"JF122  IAMC 	SERV. MEDICO UNIVERSAL";"Días y horarios: Lun a Vie de 8:00 a 11:45 hrs. y de 15:00 a 18:45 hrs.<br> Dirección: Avda. Millán	3588	Cubo del Norte";;;;;-1;0;-1;;
"POINT (-56.1654753 -34.9001225)";"JF127  IAMC 	ASOCIACION ESPAÑOLA ";Días y horarios: Lun a Vie de 08:00 a 18:00 hrs.<br>Dirección: Mario Cassinoni 1496 esq. Ana Monterroso de Lavalleja<br>Teléfono: 1920 int. 3112;;;;;-1;0;-1;;
"POINT (-56.210402 -34.864809)";"JF135 IAMC 	CASMU AGRACIADA";"Días y horarios: Lun y Jue de 13:30 a 16:15 Hrs.<br>Dirección: Avda Agraciada 	3691	Joaquín D. Pereyra y Valentín Gómez ";;;;;-1;0;-1;;
"POINT (-56.162137 -34.91924)";JF170 CLINICA GOLF - MP;Días y horarios: Lun a Vie de 08:00 a 20:00 hrs. Sab. de 8:00 a 12:00 <br>Dirección: Benito Nardone 2344 ;;;;;-1;0;-1;;
"POINT (-56.228756 -34.86009)";JF148 HOSPITAL EVANGELICO LA TEJA;"Días y horarios: 2º Ma de 09:30 a 12:30<br>Teléfono: 2304 8305<br>Dirección: Avda. Dr .Carlos Ma. Ramírez 	420	Celestino Bauza";;;;;-1;0;-1;;
